id,title,readers,x,y,area,paper_abstract,published_in,year,url,file_hash,authors,oa_state,cost,audience,why
0,Video Sharing,0,-0.707105373906644,0.7071081884636503,Video,"<ul><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/603-polymath-project"" target=""_blank"" rel=""noopener noreferrer"">Polymath Project</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,medium,researcher</span></li><li class=""project_entry""><a href=""http://www.numberphile.com/"" target=""_blank"" rel=""noopener noreferrer"">Numberphile</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,medium,generalpublic</span></li><li class=""project_entry""><a href=""http://www.minutephysics.com/"" target=""_blank"" rel=""noopener noreferrer"">Minute Physics</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,low,generalpublic</span></li><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/601-pluto-fly-by"" target=""_blank"" rel=""noopener noreferrer"">Pluto Fly-by</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,high,generalpublic, researcher</span></li><li class=""project_entry""><a href=""https://en.wikipedia.org/wiki/Ice_Bucket_Challenge"" target=""_blank"" rel=""noopener noreferrer"">Ice Bucket Challenge</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,low,generalpublic</span></li><li class=""project_entry""><a href=""https://www.ted.com/"" target=""_blank"" rel=""noopener noreferrer"">TED</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,medium,students, generalpublic</span></li><li class=""project_entry""><a href=""http://www.collab-lab.co.uk/"" target=""_blank"" rel=""noopener noreferrer"">CollabLab</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,medium,researchers, generalpublic</span></li><li class=""project_entry""><a href=""http://www.vsauce.com/#/"" target=""_blank"" rel=""noopener noreferrer"">Vsauce</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,medium,generalpublic, students</span></li><li class=""project_entry""><a href=""http://exploration.esa.int/mars/"" target=""_blank"" rel=""noopener noreferrer"">Exomars</a><span class=""projectmetadata"" style=""display : none"">Video Sharing,medium,generalpublic</span></li></ul>",,,http://www.openuphub.eu,7601955041444662590,,0,,,
6,Interviews,0,-0.707105373906644,0.7071081884636503,Video,"<ul><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/605-gut-giulia-enders"" target=""_blank"" rel=""noopener noreferrer"">Gut Project</a><span class=""projectmetadata"" style=""display : none"">Interviews,medium,generalpublic</span></li></ul>",,,http://www.openuphub.eu,1804502094714023561,,0,,,
10,Collaboration Platform,0,1.3267948966775328e-06,0.9999999999991198,Collaborative Research,"<ul><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/606-project-soha"" target=""_blank"" rel=""noopener noreferrer"">Project Soha</a><span class=""projectmetadata"" style=""display : none"">Collaboration Platform,medium,students, researcher</span></li><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/609-homer-multitext-project"" target=""_blank"" rel=""noopener noreferrer"">Homer Multitext</a><span class=""projectmetadata"" style=""display : none"">Collaboration Platform,low,researcher</span></li><li class=""project_entry""><a href=""http://www.synthesys.info/"" target=""_blank"" rel=""noopener noreferrer"">Synthesys III</a><span class=""projectmetadata"" style=""display : none"">Collaboration Platform,medium,researcher</span></li><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/608-transcribe-bentham"" target=""_blank"" rel=""noopener noreferrer"">Transcribe Bentham</a><span class=""projectmetadata"" style=""display : none"">Collaboration Platform,medium,unknown</span></li></ul>",,,http://www.openuphub.eu,1306626963023571438,,0,,,
14,Educational Materials,0,-0.9999999999964793,2.65358979335273e-06,Educational Materials,"<ul><li class=""project_entry""><a href=""http://www.wholodance.eu/"" target=""_blank"" rel=""noopener noreferrer"">WhoLoDancE</a><span class=""projectmetadata"" style=""display : none"">Educational Materials,medium,students</span></li><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/604-brain-projects-think-big"" target=""_blank"" rel=""noopener noreferrer"">Brain Projects Think Big</a><span class=""projectmetadata"" style=""display : none"">Educational Materials,low,unknown</span></li></ul>",,,http://www.openuphub.eu,546621803666945213,,0,,,
16,Data Repositories,0,1.0,0.0,Repositories,"<ul><li class=""project_entry""><a href=""https://home.cern/topics/large-hadron-collider"" target=""_blank"" rel=""noopener noreferrer"">CERN LHC Experiments</a><span class=""projectmetadata"" style=""display : none"">Data Repositories,medium,generalpublic, researcher</span></li><li class=""project_entry""><a href=""http://www.eubon.eu/"" target=""_blank"" rel=""noopener noreferrer"">EU BON</a><span class=""projectmetadata"" style=""display : none"">Data Repositories,medium,researcher</span></li></ul>",,,http://www.openuphub.eu,-6151363178150541271,,0,,,
19,Twitter,0,-3.9803846904673455e-06,-0.9999999999920782,Social Media,"<ul><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/610-101-innovations-in-scholarly-communications"" target=""_blank"" rel=""noopener noreferrer"">101 Innovations in scholarly communication</a><span class=""projectmetadata"" style=""display : none"">Twitter,medium,researcher, generalpublic</span></li></ul>",,,http://www.openuphub.eu,-8450109176471045089,,0,,,
20,Games,0,0.7071034975290827,-0.7071100648287638,Games,"<ul><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/602-galaxy-zoo"" target=""_blank"" rel=""noopener noreferrer"">Galaxy Zoo</a><span class=""projectmetadata"" style=""display : none"">Games,medium,citizenscience, generalpublic, teachers, students</span></li><li class=""project_entry""><a href=""https://fold.it/portal/"" target=""_blank"" rel=""noopener noreferrer"">Foldit!</a><span class=""projectmetadata"" style=""display : none"">Games,high,citizenscience, generalpublic</span></li><li class=""project_entry""><a href=""https://thebigbelltest.org/"" target=""_blank"" rel=""noopener noreferrer"">The Big Bell Test</a><span class=""projectmetadata"" style=""display : none"">Games,high,citizenscience, generalpublic</span></li><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/607-scienceathome"" target=""_blank"" rel=""noopener noreferrer"">ScienceAtHome</a><span class=""projectmetadata"" style=""display : none"">Games,high,citizenscience, generalpublic, researcher</span></li></ul>",,,http://www.openuphub.eu,-3076440760366774533,,0,,,
24,Project Website,0,-0.7071091266468291,-0.707104435718486,Website,"<ul><li class=""project_entry""><a href=""https://www.openuphub.eu/component/k2/item/604-brain-projects-think-big"" target=""_blank"" rel=""noopener noreferrer"">Human Brain Project</a><span class=""projectmetadata"" style=""display : none"">Project Website,medium,students, teachers</span></li><li class=""project_entry""><a href=""http://commons.pelagios.org/"" target=""_blank"" rel=""noopener noreferrer"">Pelagios</a><span class=""projectmetadata"" style=""display : none"">Project Website,medium,researcher, general public</span></li></ul>",,,http://www.openuphub.eu,7199904054817951190,,0,,,
29,Citizen Science,0,0.7071072502792263,0.7071063120935576,Citizen-Science,"<ul><li class=""project_entry""><a href=""http://opensourcemalaria.org/"" target=""_blank"" rel=""noopener noreferrer"">Open Source Malaria</a><span class=""projectmetadata"" style=""display : none"">Citizen Science,low,researcher</span></li><li class=""project_entry""><a href=""http://www.ois.lbg.ac.at/home.html"" target=""_blank"" rel=""noopener noreferrer"">Open Innovation in Science</a><span class=""projectmetadata"" style=""display : none"">Citizen Science,medium,researcher, general public</span></li><li class=""project_entry""><a href=""http://www.personalgenomes.org/"" target=""_blank"" rel=""noopener noreferrer"">Personal Genome Project</a><span class=""projectmetadata"" style=""display : none"">Citizen Science,low,researcher, citizenscience, general public</span></li><li class=""project_entry""><a href=""http://robdunnlab.com/projects/wild-life-of-our-homes/"" target=""_blank"" rel=""noopener noreferrer"">Wildlife of our Homes</a><span class=""projectmetadata"" style=""display : none"">Citizen Science,unkown,unknown</span></li><li class=""project_entry""><a href=""http://bauhiniagenome.hk/"" target=""_blank"" rel=""noopener noreferrer"">Bauhinia Genome</a><span class=""projectmetadata"" style=""display : none"">Citizen Science,unkown,unknown</span></li></ul>",,,http://www.openuphub.eu,-5360400774560165540,,0,,,
34,Note Repositories,0,1.0,0.0,Repositories,"<ul><li class=""project_entry""><a href=""http://onsnetwork.org/"" target=""_blank"" rel=""noopener noreferrer"">Open Notebooks Science</a><span class=""projectmetadata"" style=""display : none"">Note Repositories,unkown,unknown</span></li></ul>",,,http://www.openuphub.eu,-952567405088229945,,0,,,
